PassengerId,Survived,Age,SibSp,Parch,Fare,Sex_female,Sex_male,Pclass_1,Pclass_2,Pclass_3,Embarked_C,Embarked_Q,Embarked_S
708,1,42.0,0,0,-57.86718749999992,0,1,1,0,0,0,0,1
689,0,18.0,0,0,-5.879750101832997,0,1,0,0,1,0,0,1
251,0,25.0,0,0,-6.425550101832997,0,1,0,0,1,0,0,1
351,0,23.0,0,0,-4.450550101832997,0,1,0,0,1,0,0,1
475,0,22.0,0,0,-3.838050101832996,1,0,0,0,1,0,0,1
782,1,17.0,1,0,-27.154687499999923,1,0,1,0,0,0,0,1
823,0,38.0,0,0,-84.15468749999992,0,1,1,0,0,0,0,1
306,1,0.92,1,2,67.39531250000009,0,1,1,0,0,0,0,1
40,1,14.0,1,0,-2.4338501018329968,1,0,0,0,1,1,0,0
681,0,21.5,0,0,-5.538050101832997,1,0,0,0,1,0,1,0
465,0,25.0,0,0,-5.625550101832996,0,1,0,0,1,0,0,1
401,1,39.0,0,0,-5.750550101832997,0,1,0,0,1,0,0,1
756,1,0.67,1,1,-6.16218315217391,0,1,0,1,0,0,0,1
570,1,32.0,0,0,-5.821350101832997,0,1,0,0,1,0,0,1
27,0,25.0,0,0,-6.450550101832997,0,1,0,0,1,1,0,0
120,0,2.0,4,2,17.599449898167002,1,0,0,0,1,0,0,1
846,0,42.0,0,0,-6.125550101832997,0,1,0,0,1,0,0,1
99,1,34.0,0,1,2.3378168478260903,1,0,0,1,0,0,0,1
314,0,28.0,0,0,-5.779750101832996,0,1,0,0,1,0,0,1
157,1,16.0,0,0,-5.942250101832997,1,0,0,0,1,0,1,0
454,1,49.0,1,0,4.949512500000083,0,1,1,0,0,1,0,0
436,1,14.0,1,2,35.84531250000008,1,0,1,0,0,0,0,1
163,0,26.0,0,0,-5.900550101832996,0,1,0,0,1,0,0,1
1,0,22.0,1,0,-6.425550101832997,0,1,0,0,1,0,0,1
776,0,18.0,0,0,-5.925550101832997,0,1,0,0,1,0,0,1
178,0,50.0,0,0,-55.442187499999925,1,0,1,0,0,1,0,0
305,0,25.0,0,0,-5.625550101832996,0,1,0,0,1,0,0,1
822,1,27.0,0,0,-5.013050101832997,0,1,0,0,1,0,0,1
585,0,25.0,0,0,-4.963050101832996,0,1,0,0,1,1,0,0
552,0,27.0,0,0,5.33781684782609,0,1,0,1,0,0,0,1
549,0,33.0,1,1,6.849449898167002,0,1,0,0,1,0,0,1
696,0,52.0,0,0,-7.16218315217391,0,1,0,1,0,0,0,1
397,0,31.0,0,0,-5.821350101832997,1,0,0,0,1,0,0,1
491,0,25.0,1,0,6.291149898167003,0,1,0,0,1,0,0,1
357,1,22.0,0,1,-29.154687499999923,1,0,1,0,0,0,0,1
495,0,21.0,0,0,-5.625550101832996,0,1,0,0,1,0,0,1
350,0,42.0,0,0,-5.013050101832997,0,1,0,0,1,0,0,1
95,0,59.0,0,0,-6.425550101832997,0,1,0,0,1,0,0,1
