PassengerId,Survived,Age,SibSp,Parch,Fare,Sex_female,Sex_male,Pclass_1,Pclass_2,Pclass_3,Embarked_C,Embarked_Q,Embarked_S
420,0,10.0,0,2,10.474449898167002,1,0,0,0,1,0,0,1
848,0,35.0,0,0,-5.779750101832996,0,1,0,0,1,1,0,0
564,0,25.0,0,0,-5.625550101832996,0,1,0,0,1,0,0,1
743,1,21.0,2,2,178.2203125000001,1,0,1,0,0,1,0,0
647,0,19.0,0,0,-5.779750101832996,0,1,0,0,1,0,0,1
766,1,51.0,1,0,-6.196387499999929,1,0,1,0,0,0,0,1
332,0,45.5,0,0,-55.65468749999992,0,1,1,0,0,0,0,1
42,0,27.0,1,0,0.33781684782609034,1,0,0,1,0,0,0,1
217,1,27.0,0,0,-5.750550101832997,1,0,0,0,1,0,0,1
360,1,21.5,0,0,-5.796350101832997,1,0,0,0,1,0,1,0
583,0,54.0,0,0,5.33781684782609,0,1,0,1,0,0,0,1
378,0,27.0,0,2,127.34531250000008,0,1,1,0,0,1,0,0
38,0,21.0,0,0,-5.625550101832996,0,1,0,0,1,0,0,1
622,1,42.0,1,0,-31.60048749999992,0,1,1,0,0,0,0,1
409,0,21.0,0,0,-5.900550101832996,0,1,0,0,1,0,0,1
616,1,24.0,1,2,44.33781684782609,1,0,0,1,0,0,0,1
509,0,28.0,0,0,8.849449898167002,0,1,0,0,1,0,0,1
663,0,47.0,0,0,-58.567187499999925,0,1,1,0,0,0,0,1
659,0,23.0,0,0,-7.66218315217391,0,1,0,1,0,0,0,1
428,1,19.0,0,0,5.33781684782609,1,0,0,1,0,0,0,1
671,1,40.0,1,1,18.33781684782609,1,0,0,1,0,0,0,1
859,1,24.0,0,3,5.582749898167002,1,0,0,0,1,1,0,0
445,1,25.0,0,0,-5.563050101832996,0,1,0,0,1,0,0,1
368,1,21.5,0,0,-6.446350101832997,1,0,0,0,1,1,0,0
309,0,30.0,1,0,3.3378168478260903,0,1,0,1,0,1,0,0
70,0,26.0,2,0,-5.013050101832997,0,1,0,0,1,0,0,1
646,1,48.0,1,0,-7.425487499999917,0,1,1,0,0,1,0,0
229,0,18.0,0,0,-7.66218315217391,0,1,0,1,0,0,0,1
297,0,23.5,0,0,-6.446350101832997,0,1,0,0,1,1,0,0
607,0,30.0,0,0,-5.779750101832996,0,1,0,0,1,0,0,1
127,0,25.0,0,0,-5.925550101832997,0,1,0,0,1,0,1,0
520,0,32.0,0,0,-5.779750101832996,0,1,0,0,1,0,0,1
614,0,25.0,0,0,-5.925550101832997,0,1,0,0,1,0,1,0
885,0,25.0,0,0,-6.625550101832997,0,1,0,0,1,0,0,1
788,0,8.0,4,1,15.449449898167003,0,1,0,0,1,0,1,0
269,1,58.0,0,1,69.30781250000008,1,0,1,0,0,0,0,1
410,0,21.5,3,1,11.791149898167003,1,0,0,0,1,0,0,1
261,0,25.0,0,0,-5.925550101832997,0,1,0,0,1,0,1,0
356,0,28.0,0,0,-4.175550101832997,0,1,0,0,1,0,0,1
640,0,25.0,1,0,2.424449898167005,0,1,0,0,1,0,0,1
28,0,19.0,3,2,178.8453125000001,0,1,1,0,0,0,0,1
69,1,17.0,4,2,-5.750550101832997,1,0,0,0,1,0,0,1
126,1,12.0,1,0,-2.4338501018329968,0,1,0,0,1,1,0,0
205,1,18.0,0,0,-5.625550101832996,0,1,0,0,1,0,0,1
572,1,53.0,2,0,-32.675487499999925,1,0,1,0,0,0,0,1
760,1,33.0,0,0,2.3453125000000767,1,0,1,0,0,0,0,1
219,1,32.0,0,0,-7.862987499999917,1,0,1,0,0,1,0,0
706,0,39.0,0,0,5.33781684782609,0,1,0,1,0,0,0,1
460,0,25.0,0,0,-5.925550101832997,0,1,0,0,1,0,1,0
101,0,28.0,0,0,-5.779750101832996,1,0,0,0,1,0,0,1
661,1,50.0,2,0,49.49531250000008,0,1,1,0,0,0,0,1
701,1,18.0,1,0,143.37031250000007,1,0,1,0,0,1,0,0
768,0,30.5,0,0,-5.925550101832997,1,0,0,0,1,0,1,0
30,0,25.0,0,0,-5.779750101832996,0,1,0,0,1,0,0,1
620,0,26.0,0,0,-10.16218315217391,0,1,0,1,0,0,0,1
670,1,35.0,1,0,-32.15468749999992,1,0,1,0,0,0,0,1
96,0,25.0,0,0,-5.625550101832996,0,1,0,0,1,0,0,1
644,1,25.0,0,0,42.820249898167006,0,1,0,0,1,0,0,1
615,0,35.0,0,0,-5.625550101832996,0,1,0,0,1,0,0,1
166,1,9.0,0,2,6.849449898167002,0,1,0,0,1,0,0,1
220,0,30.0,0,0,-10.16218315217391,0,1,0,1,0,0,0,1
581,1,25.0,1,1,9.33781684782609,1,0,0,1,0,0,0,1
345,0,36.0,0,0,-7.66218315217391,0,1,0,1,0,0,0,1
379,0,20.0,0,0,-9.663050101832997,0,1,0,0,1,1,0,0
874,0,47.0,0,0,-4.675550101832997,0,1,0,0,1,0,0,1
331,1,21.5,2,0,9.574449898167003,1,0,0,0,1,0,1,0
423,0,29.0,0,0,-5.800550101832997,0,1,0,0,1,0,0,1
221,1,16.0,0,0,-5.625550101832996,0,1,0,0,1,0,0,1
148,0,9.0,2,2,20.699449898167003,1,0,0,0,1,0,0,1
437,0,21.0,2,2,20.699449898167003,1,0,0,0,1,0,0,1
833,0,25.0,0,0,-6.446350101832997,0,1,0,0,1,1,0,0
851,0,4.0,4,2,17.599449898167002,0,1,0,0,1,0,0,1
2,1,38.0,1,0,-12.871387499999926,1,0,1,0,0,1,0,0
650,1,23.0,0,0,-6.125550101832997,1,0,0,0,1,0,0,1
125,0,54.0,0,1,-6.867187499999929,0,1,1,0,0,0,0,1
759,0,34.0,0,0,-5.625550101832996,0,1,0,0,1,0,0,1
836,1,39.0,1,1,-0.9963874999999263,1,0,1,0,0,1,0,0
758,0,18.0,0,0,-9.16218315217391,0,1,0,1,0,0,0,1
262,1,3.0,4,2,17.711949898167003,0,1,0,0,1,0,0,1
563,0,28.0,0,0,-7.16218315217391,0,1,0,1,0,0,0,1
882,0,33.0,0,0,-5.779750101832996,0,1,0,0,1,0,0,1
323,1,30.0,0,0,-8.31218315217391,1,0,0,1,0,0,1,0
450,1,52.0,0,0,-53.65468749999992,0,1,1,0,0,0,0,1
3,1,26.0,0,0,-5.750550101832997,1,0,0,0,1,0,0,1
723,0,34.0,0,0,-7.66218315217391,0,1,0,1,0,0,0,1
658,0,32.0,1,1,1.8244498981670034,1,0,0,0,1,0,1,0
452,0,25.0,1,0,6.291149898167003,0,1,0,0,1,0,0,1
171,0,61.0,0,0,-50.65468749999992,0,1,1,0,0,0,0,1
216,1,31.0,1,0,29.120312500000082,1,0,1,0,0,1,0,0
413,1,33.0,1,0,5.845312500000077,1,0,1,0,0,0,1,0
136,0,23.0,0,0,-5.61638315217391,0,1,0,1,0,1,0,0
18,1,30.0,0,0,-7.66218315217391,0,1,0,1,0,0,0,1
635,0,9.0,3,2,14.224449898167002,1,0,0,0,1,0,0,1
290,1,22.0,0,0,-5.925550101832997,1,0,0,0,1,0,1,0
772,0,48.0,0,0,-5.821350101832997,0,1,0,0,1,0,0,1
145,0,18.0,0,0,-9.16218315217391,0,1,0,1,0,0,0,1
591,0,35.0,0,0,-6.550550101832997,0,1,0,0,1,0,0,1
744,0,24.0,1,0,2.424449898167005,0,1,0,0,1,0,0,1
524,1,44.0,0,1,-26.175487499999925,1,0,1,0,0,1,0,0
257,1,35.0,0,0,-4.95468749999992,1,0,1,0,0,1,0,0
421,0,25.0,0,0,-5.779750101832996,0,1,0,0,1,1,0,0
697,0,44.0,0,0,-5.625550101832996,0,1,0,0,1,0,0,1
597,1,28.0,0,0,12.33781684782609,1,0,0,1,0,0,0,1
662,0,40.0,0,0,-6.450550101832997,0,1,0,0,1,1,0,0
810,1,33.0,1,0,-31.054687499999922,1,0,1,0,0,0,0,1
326,1,36.0,0,0,51.47861250000007,1,0,1,0,0,1,0,0
599,0,25.0,0,0,-6.450550101832997,0,1,0,0,1,1,0,0
164,0,17.0,0,0,-5.013050101832997,0,1,0,0,1,0,0,1
610,1,40.0,0,0,69.30781250000008,1,0,1,0,0,0,0,1
537,0,45.0,0,0,-57.604687499999926,0,1,1,0,0,0,0,1
280,1,35.0,1,1,6.574449898167003,1,0,0,0,1,0,0,1
684,0,14.0,5,2,33.224449898167,0,1,0,0,1,0,0,1
260,1,50.0,0,1,5.33781684782609,1,0,0,1,0,0,0,1
215,0,25.0,1,0,-5.925550101832997,0,1,0,0,1,0,1,0
504,0,37.0,0,0,-4.088050101832996,1,0,0,0,1,0,0,1
538,1,30.0,0,0,22.270312500000074,1,0,1,0,0,1,0,0
37,1,25.0,0,0,-6.446350101832997,0,1,0,0,1,1,0,0
508,1,40.0,0,0,-57.604687499999926,0,1,1,0,0,0,0,1
383,0,32.0,0,0,-5.750550101832997,0,1,0,0,1,0,0,1
169,0,40.0,0,0,-58.229687499999926,0,1,1,0,0,0,0,1
264,0,40.0,0,0,-84.15468749999992,0,1,1,0,0,0,0,1
142,1,22.0,0,0,-5.925550101832997,1,0,0,0,1,0,0,1
632,0,51.0,0,0,-6.621350101832997,0,1,0,0,1,0,0,1
223,0,51.0,0,0,-5.625550101832996,0,1,0,0,1,0,0,1
785,0,25.0,0,0,-6.625550101832997,0,1,0,0,1,0,0,1
